data,valor,Data
01/12/2001,25.57,2001-12-01
01/01/2002,25.48,2002-01-01
01/02/2002,25.46,2002-02-01
01/03/2002,25.36,2002-03-01
01/04/2002,25.37,2002-04-01
01/05/2002,25.51,2002-05-01
01/06/2002,25.74,2002-06-01
01/07/2002,25.94,2002-07-01
01/08/2002,25.33,2002-08-01
01/09/2002,26.58,2002-09-01
01/10/2002,26.05,2002-10-01
01/11/2002,25.95,2002-11-01
01/12/2002,25.82,2002-12-01
01/01/2003,25.57,2003-01-01
01/02/2003,25.49,2003-02-01
01/03/2003,25.07,2003-03-01
01/04/2003,24.5,2003-04-01
01/05/2003,24.44,2003-05-01
01/06/2003,24.36,2003-06-01
01/07/2003,24.15,2003-07-01
01/08/2003,24.05,2003-08-01
01/09/2003,24.02,2003-09-01
01/10/2003,24.04,2003-10-01
01/11/2003,24.38,2003-11-01
01/12/2003,24.35,2003-12-01
01/01/2004,24.07,2004-01-01
01/02/2004,24.09,2004-02-01
01/03/2004,23.98,2004-03-01
01/04/2004,24.45,2004-04-01
01/05/2004,24.76,2004-05-01
01/06/2004,24.77,2004-06-01
01/07/2004,24.67,2004-07-01
01/08/2004,24.73,2004-08-01
01/09/2004,25.01,2004-09-01
01/10/2004,25.51,2004-10-01
01/11/2004,25.52,2004-11-01
01/12/2004,25.47,2004-12-01
01/01/2005,25.58,2005-01-01
01/02/2005,25.65,2005-02-01
01/03/2005,25.85,2005-03-01
01/04/2005,26.07,2005-04-01
01/05/2005,26.03,2005-05-01
01/06/2005,26.2,2005-06-01
01/07/2005,26.4,2005-07-01
01/08/2005,26.6,2005-08-01
01/09/2005,26.7,2005-09-01
01/10/2005,27.01,2005-10-01
01/11/2005,27.44,2005-11-01
01/12/2005,27.97,2005-12-01
01/01/2006,27.76,2006-01-01
01/02/2006,27.85,2006-02-01
01/03/2006,28.12,2006-03-01
01/04/2006,28.55,2006-04-01
01/05/2006,29.03,2006-05-01
01/06/2006,28.99,2006-06-01
01/07/2006,29.18,2006-07-01
01/08/2006,29.1,2006-08-01
01/09/2006,29.29,2006-09-01
01/10/2006,29.54,2006-10-01
01/11/2006,30.04,2006-11-01
01/12/2006,30.4,2006-12-01
01/01/2007,30.33,2007-01-01
01/02/2007,30.44,2007-02-01
01/03/2007,30.66,2007-03-01
01/04/2007,31.07,2007-04-01
01/05/2007,31.16,2007-05-01
01/06/2007,31.28,2007-06-01
01/07/2007,31.68,2007-07-01
01/08/2007,32.35,2007-08-01
01/09/2007,32.67,2007-09-01
01/10/2007,33.21,2007-10-01
01/11/2007,34.04,2007-11-01
01/12/2007,34.7,2007-12-01
01/01/2008,34.72,2008-01-01
01/02/2008,34.85,2008-02-01
01/03/2008,35.76,2008-03-01
01/04/2008,36.23,2008-04-01
01/05/2008,36.81,2008-05-01
01/06/2008,37.14,2008-06-01
01/07/2008,37.17,2008-07-01
01/08/2008,37.59,2008-08-01
01/09/2008,38.43,2008-09-01
01/10/2008,39,2008-10-01
01/11/2008,39.37,2008-11-01
01/12/2008,39.68,2008-12-01
01/01/2009,39.56,2009-01-01
01/02/2009,39.4,2009-02-01
01/03/2009,39.58,2009-03-01
01/04/2009,39.64,2009-04-01
01/05/2009,39.87,2009-05-01
01/06/2009,40.24,2009-06-01
01/07/2009,41.11,2009-07-01
01/08/2009,41.53,2009-08-01
01/09/2009,41.92,2009-09-01
01/10/2009,42.23,2009-10-01
01/11/2009,42.42,2009-11-01
01/12/2009,42.62,2009-12-01
01/01/2010,42.42,2010-01-01
01/02/2010,42.23,2010-02-01
01/03/2010,42.1,2010-03-01
01/04/2010,41.99,2010-04-01
01/05/2010,42.31,2010-05-01
01/06/2010,42.63,2010-06-01
01/07/2010,42.63,2010-07-01
01/08/2010,42.96,2010-08-01
01/09/2010,43.25,2010-09-01
01/10/2010,43.56,2010-10-01
01/11/2010,43.86,2010-11-01
01/12/2010,44.08,2010-12-01
01/01/2011,43.73,2011-01-01
01/02/2011,43.76,2011-02-01
01/03/2011,43.82,2011-03-01
01/04/2011,43.95,2011-04-01
01/05/2011,44.11,2011-05-01
01/06/2011,44.25,2011-06-01
01/07/2011,44.33,2011-07-01
01/08/2011,44.66,2011-08-01
01/09/2011,45.3,2011-09-01
01/10/2011,45.29,2011-10-01
01/11/2011,45.82,2011-11-01
01/12/2011,46.48,2011-12-01
01/01/2012,46.1,2012-01-01
01/02/2012,45.93,2012-02-01
01/03/2012,46.31,2012-03-01
01/04/2012,46.58,2012-04-01
01/05/2012,47,2012-05-01
01/06/2012,47.43,2012-06-01
01/07/2012,47.39,2012-07-01
01/08/2012,47.52,2012-08-01
01/09/2012,47.72,2012-09-01
01/10/2012,47.94,2012-10-01
01/11/2012,48.31,2012-11-01
01/12/2012,49.19,2012-12-01
01/01/2013,48.67,2013-01-01
01/02/2013,48.72,2013-02-01
01/03/2013,49.26,2013-03-01
01/04/2013,49.14,2013-04-01
01/05/2013,49.52,2013-05-01
01/06/2013,49.97,2013-06-01
01/07/2013,49.8,2013-07-01
01/08/2013,50.11,2013-08-01
01/09/2013,50.04,2013-09-01
01/10/2013,49.75,2013-10-01
01/11/2013,50.14,2013-11-01
01/12/2013,50.85,2013-12-01
01/01/2014,50.46,2014-01-01
01/02/2014,50.15,2014-02-01
01/03/2014,50.26,2014-03-01
01/04/2014,50.27,2014-04-01
01/05/2014,50.38,2014-05-01
01/06/2014,50.66,2014-06-01
01/07/2014,50.49,2014-07-01
01/08/2014,50.69,2014-08-01
01/09/2014,50.96,2014-09-01
01/10/2014,51.06,2014-10-01
01/11/2014,51.44,2014-11-01
01/12/2014,52.21,2014-12-01
01/01/2015,52.1,2015-01-01
01/02/2015,52.21,2015-02-01
01/03/2015,52.49,2015-03-01
01/04/2015,52.34,2015-04-01
01/05/2015,52.62,2015-05-01
01/06/2015,52.65,2015-06-01
01/07/2015,52.62,2015-07-01
01/08/2015,52.9,2015-08-01
01/09/2015,53.32,2015-09-01
01/10/2015,53.06,2015-10-01
01/11/2015,53.26,2015-11-01
01/12/2015,53.86,2015-12-01
01/01/2016,53.43,2016-01-01
01/02/2016,52.95,2016-02-01
01/03/2016,52.5,2016-03-01
01/04/2016,52.03,2016-04-01
01/05/2016,51.95,2016-05-01
01/06/2016,51.32,2016-06-01
01/07/2016,50.93,2016-07-01
01/08/2016,50.64,2016-08-01
01/09/2016,50.46,2016-09-01
01/10/2016,50.13,2016-10-01
01/11/2016,50.05,2016-11-01
01/12/2016,49.73,2016-12-01
01/01/2017,48.93,2017-01-01
01/02/2017,48.71,2017-02-01
01/03/2017,48.63,2017-03-01
01/04/2017,48.39,2017-04-01
01/05/2017,48.05,2017-05-01
01/06/2017,48.08,2017-06-01
01/07/2017,47.49,2017-07-01
01/08/2017,47.3,2017-08-01
01/09/2017,47.14,2017-09-01
01/10/2017,47.01,2017-10-01
01/11/2017,46.98,2017-11-01
01/12/2017,47.15,2017-12-01
01/01/2018,46.52,2018-01-01
01/02/2018,46.24,2018-02-01
01/03/2018,46.32,2018-03-01
01/04/2018,46.11,2018-04-01
01/05/2018,46.22,2018-05-01
01/06/2018,46.28,2018-06-01
01/07/2018,45.93,2018-07-01
01/08/2018,46.11,2018-08-01
01/09/2018,46.09,2018-09-01
01/10/2018,45.7,2018-10-01
01/11/2018,45.99,2018-11-01
01/12/2018,46.61,2018-12-01
01/01/2019,46.04,2019-01-01
01/02/2019,45.92,2019-02-01
01/03/2019,46.17,2019-03-01
01/04/2019,45.97,2019-04-01
01/05/2019,45.87,2019-05-01
01/06/2019,45.92,2019-06-01
01/07/2019,45.58,2019-07-01
01/08/2019,45.91,2019-08-01
01/09/2019,46.1,2019-09-01
01/10/2019,46.02,2019-10-01
01/11/2019,46.41,2019-11-01
01/12/2019,46.94,2019-12-01
01/01/2020,46.62,2020-01-01
01/02/2020,46.7,2020-02-01
01/03/2020,47.89,2020-03-01
01/04/2020,48.3,2020-04-01
01/05/2020,48.84,2020-05-01
01/06/2020,49.24,2020-06-01
01/07/2020,49.94,2020-07-01
01/08/2020,50.9,2020-08-01
01/09/2020,51.84,2020-09-01
01/10/2020,52.54,2020-10-01
01/11/2020,53.42,2020-11-01
01/12/2020,54.21,2020-12-01
01/01/2021,54.07,2021-01-01
